PERID,GENDER,COUNTRY_OF_BIRTH,NATIONALITY,AGE,AGE_GROUPING,MARITAL_STATUS,RANK_GRADE,RANK_GROUPING,YEARS_IN_GRADE,EMPLOYEE_GROUP,PARENT_SERVICE,SERVICE_SUB_AREA,SERVICE_TYPE,YEARS_OF_SERVICE,VOC,UNIT,NO_OF_KIDS,MIN_CHILD_AGE,AVE_CHILD_AGE,HSP_ESTABLISHMENT,HSP_CERTIFICATE,HSP_CERT_RANK,HSP_CERT_DESC,UPGRADED_LAST_3_YRS,UPGRADED_CERT_3_YRS,UPGRADED_CERT_DESC_3_YRS,MARRIED_WITHIN_2_YEARS,DIVORCE_WITHIN_2_YEARS,DIVORCE_REMARRIED_WITHIN_2_YEARS,PROMO_LAST_5_YRS,PROMO_LAST_4_YRS,PROMO_LAST_3_YRS,PROMO_LAST_2_YRS,PROMO_LAST_1_YR,UNIT_CHG_LAST_3_YRS,UNIT_CHG_LAST_2_YRS,UNIT_CHG_LAST_1_YR,AWARDS_RECEIVED,HOUSING_TYPE,HOUSING_GROUP,HOUSING_RANK,PREV_HOUSING_TYPE,MOVE_HOUSE_T_2,HOUSE_UPG_DGRD,IPPT_SCORE,PES_SCORE,HOMETOWORKDIST,SVC_INJURY_TYPE,TOT_PERC_INC_LAST_1_YR,BAS_PERC_INC_LAST_1_YR
10000044,Male,Singapore,Singaporean,48,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,30.83333333,VOCATION 59,UNIT 63,4,15,22,Technical Education,ITE/Poly Certificate,5,VEHICLE MECHANICS,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,22.68,0,-19.99265361,7.402538497
10000051,Male,Singapore,Singaporean,48,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,21.66666667,VOCATION 59,UNIT 136,2,16,16.5,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,2,1,17.23960153,0,-19.72604791,6.759417701
10000052,Male,Singapore,Singaporean,46,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,3,MILITARY REGULARS,SERVICE D,SERVICE C,Full CPF (SAVER-EOS),24.75,VOCATION 127,UNIT 232,0,0,0,Diploma,Diploma,6,DIPLOMA IN ELECTRONICS AND COMMUNICATION ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,NO,NO,1,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,1,3,12.29,0,-8.494613286,10.97139339
10000053,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE C,SERVICE C,MDES,23.16666667,VOCATION 154,UNIT 147,0,0,0,Technical Education,NTC2/NITEC,5,AUTOMOTIVE TECHNOLOGY(LIGHT VEHICLES),NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,NO,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,13.7,1,-8.226772315,6.51086342
10000055,Male,Singapore,Singaporean,41,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,0,MILITARY REGULARS,SERVICE A,SERVICE A,SAVER-EOS,21.41666667,VOCATION 203,UNIT 274,2,9,10,Diploma,Diploma,6,SPECIALIST DIPLOMA IN LEARNING SCIENCE,NO,NONE,NONE,NO,NO,NO,1,1,1,1,1,YES,YES,NO,2,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,4,17.5,0,-21.02977357,7.100612391
10000056,Male,Singapore,Singaporean,44,40 and Above,Marr.,RANK 30,MIDDLE WOSE,0,MILITARY REGULARS,SERVICE B,SERVICE C,PP-EWOS,11.83333333,VOCATION 289,UNIT 107,0,0,0,Secondary,GCE 'N' Level,3,GCE 'N' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,1,1,YES,YES,NO,1,4-ROOM,PUBLIC,4,NONE,NO,0,1,3,22.22,0,-26.86804778,-20.23408934
10000058,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,6,MILITARY REGULARS,SERVICE B,SERVICE B,SAVER-EOS,19.91666667,VOCATION 78,UNIT 157,2,10,11,Diploma,Diploma,6,DIPLOMA IN ELECTRICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,3,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,1,3,21.05,0,-9.889424703,9.797414952
10000060,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 10,SENIOR OFFICER,3,MILITARY REGULARS,SERVICE E,SERVICE B,SAVER-EOS,21.25,VOCATION 80,UNIT 322,1,3,3,University,Master,10,MASTER OF ENGINEERING (FIRST CLASS HONOURS),NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,YES,YES,6,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,5,13.73,0,-11.39494923,4.517814207
10000062,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 23,MIDDLE ME,1,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,25.66666667,VOCATION 236,UNIT 368,2,7,8,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,1,0,YES,YES,NO,3,5-ROOM,PUBLIC,5,NONE,NO,0,2,5,35.43,0,-11.23323017,9.073600339
10000065,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,15.58333333,VOCATION 236,UNIT 356,0,0,0,Diploma,Diploma,6,DIPLOMA IN CORRECTIONAL ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,YES,YES,1,4-ROOM,PUBLIC,4,NONE,NO,0,1,4,32.43,0,-4.362215908,7.770154724
10000066,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,21,VOCATION 236,UNIT 371,2,3,4.5,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,28.59,0,-11.85889928,7.292516373
10000068,Male,Singapore,Singaporean,37,36 to 40,Marr.,RANK 17,MIDDLE OFFICER,4,NATIONAL SERVICEMEN,SERVICE D,SERVICE D,SAVER-EOS,18.08333333,VOCATION 280,UNIT 310,3,6,8.666666667,University,Master,10,MASTER OF MEDICINE,NO,NONE,NONE,NO,NO,NO,1,0,0,0,0,YES,NO,NO,5,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,3,5,18.18,0,0,0
10000072,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,9,NATIONAL SERVICEMEN,SERVICE D,SERVICE C,Full CPF (SAVER-EOS),12.16666667,VOCATION 68,UNIT 261,2,17,18.5,University,Master,10,MASTER OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,5,3.09,0,0,0
10000073,Male,Singapore,Singaporean,53,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,36.58333333,VOCATION 12,UNIT 110,2,24,25.5,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,3,4,21.92,0,-8.534671402,6.84343037
10000075,Male,Singapore,Singaporean,50,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,31.41666667,VOCATION 18,UNIT 93,2,14,16,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,2,4-ROOM,PUBLIC,4,NONE,NO,0,1,3,7,0,-13.88095103,8.971574566
10000079,Male,Singapore,Singaporean,57,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,37.66666667,VOCATION 18,UNIT 92,2,30,31,Technical Education,ITE/Poly Certificate,5,GENERAL WELDING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,0,3,35.15,0,-7.405095769,8.971574566
10000081,Male,Singapore,Singaporean,54,40 and Above,Marr.,RANK 13,SENIOR WOSE,0,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,34.83333333,VOCATION 94,UNIT 399,3,19,23.33333333,Diploma,Advanced Diploma,7,SPECIALIST ADVANCED DIPLOMA IN LEARNING & INSTRUCTION,YES,Advanced Diploma,SPECIALIST ADVANCED DIPLOMA IN LEARNING & INSTRUCTION,NO,NO,NO,1,1,1,1,1,YES,YES,YES,4,5-ROOM,PUBLIC,5,NONE,NO,0,3,1,11.75,0,-32.20544392,-25.23532498
10000091,Male,Singapore,Singaporean,44,40 and Above,Single,RANK 26,SENIOR ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,22.91666667,VOCATION 261,UNIT 377,0,0,0,University,Master,10,MASTER OF MUSIC,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,EXECUTIVE,PUBLIC,6,NONE,NO,0,2,4,21.77,0,-16.35751566,1.863248306
10000093,Male,Singapore,Singaporean,43,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,4,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,24.41666667,VOCATION 44,UNIT 422,3,9,11.33333333,University,Honours Degree,9,BACHELOR OF SCIENCE (SECOND CLASS HONOURS (UPPER)),NO,NONE,NONE,NO,NO,NO,1,0,0,0,0,YES,YES,YES,1,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,3,5,5.95,0,-11.00845885,10.67738595
10000101,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 26,SENIOR ME,2,NATIONAL SERVICEMEN,SERVICE C,SERVICE D,MDES,19.08333333,VOCATION 163,UNIT 223,2,10,11.5,Diploma,Diploma,6,DIPLOMA IN ELECTRONICS AND COMMUNICATION ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,7.92,0,3.564409838,2.418779315
10000102,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 22,MIDDLE ME,1,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,20.83333333,VOCATION 155,UNIT 25,2,4,5.5,Diploma,Diploma,6,DIPLOMA IN MECHATRONICS ENGINEERING,YES,Diploma,DIPLOMA IN MECHATRONICS ENGINEERING,NO,NO,NO,1,1,0,0,0,YES,YES,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,2,4,10.86,0,-29.14468438,-23.16830017
10000103,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,23.91666667,VOCATION 14,UNIT 137,1,3,3,Secondary,GCE 'N' Level,3,GCE 'N' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,EXECUTIVE,PUBLIC,6,NONE,NO,0,1,4,8.42,0,-7.430638216,8.20173316
10000105,Male,Singapore,Singaporean,48,40 and Above,Single,RANK 2,MIDDLE WOSE,6,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,18,VOCATION 275,UNIT 408,0,0,0,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,5,4-ROOM,PUBLIC,4,NONE,NO,0,2,4,6.13,0,-29.78748721,-21.18856237
10000106,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,8,MILITARY REGULARS,SERVICE G,SERVICE C,Full CPF (SAVER-EOS),23.16666667,VOCATION 96,UNIT 379,2,11,12,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,3,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,3,3,17.23960153,2,-1.997191465,4.992789915
10000108,Male,Singapore,Singaporean,47,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,29.91666667,VOCATION 236,UNIT 393,1,23,23,Technical Education,ITE/Poly Certificate,5,ELECTRICAL FITTING AND INSTALLATION(INDUSTRIAL),NO,NONE,NONE,NO,NO,NO,1,0,0,0,0,YES,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,33.44,0,2.412509582,6.954857046
10000109,Male,Singapore,Singaporean,49,40 and Above,Marr.,RANK 2,MIDDLE WOSE,6,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,32.83333333,VOCATION 275,UNIT 407,2,15,17.5,Technical Education,ITE/Poly Certificate,5,LOGISTICS,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,5,EXECUTIVE,PUBLIC,6,NONE,NO,0,2,1,13.76,0,-25.42921455,-22.53423423
10000110,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 22,MIDDLE ME,2,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,24.08333333,VOCATION 12,UNIT 154,1,16,16,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,1,4-ROOM,PUBLIC,4,NONE,NO,0,0,5,17.23960153,0,-8.51193137,-14.63067175
10000113,Male,Singapore,Singaporean,48,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,7,MILITARY REGULARS,SERVICE A,SERVICE A,Full CPF (SAVER-EOS),27.83333333,VOCATION 203,UNIT 274,2,14,15.5,University,Master,10,MASTER OF EDUCATION (LEADERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000114,Male,Singapore,Singaporean,49,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,31.41666667,VOCATION 12,UNIT 157,0,0,0,University,Pass Degree,8,BACHELOR OF BUSINESS,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,1,4-ROOM,PUBLIC,4,NONE,NO,0,1,4,17.23960153,0,-8.980321755,6.922416306
10000121,Male,Singapore,Singaporean,48,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,30.33333333,VOCATION 59,UNIT 116,4,16,18.75,Technical Education,ITE/Poly Certificate,5,VEHICLE MECHANICS,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,4,4-ROOM,PUBLIC,4,NONE,NO,0,0,3,8.68,0,-10.44376058,6.856593754
10000123,Male,Singapore,Singaporean,54,40 and Above,Marr.,RANK 23,MIDDLE ME,1,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,37.08333333,VOCATION 12,UNIT 273,2,20,22.5,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,1,0,YES,YES,YES,3,5-ROOM,PUBLIC,5,NONE,NO,0,1,1,21.86,0,-11.81761194,13.02072491
10000124,Male,Singapore,Singaporean,54,40 and Above,Marr.,RANK 5,MIDDLE WOSE,14,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,35.66666667,VOCATION 275,UNIT 407,2,25,25.5,Primary,Without PSLE/PSPE Pass,1,NOT AVAILABLE,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,5,4-ROOM,PUBLIC,4,NONE,NO,0,2,3,17.23960153,0,-27.98336855,-23.93406927
10000125,Male,Singapore,Singaporean,56,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,36.33333333,VOCATION 18,UNIT 157,2,15,17,Diploma,Diploma,6,SPECIALIST DIPLOMA IN LEARNING SCIENCE,YES,Diploma,SPECIALIST DIPLOMA IN LEARNING SCIENCE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,3,EXECUTIVE,PUBLIC,6,NONE,NO,0,1,2,17.23960153,0,-10.64287006,6.295904376
10000126,Male,Singapore,Singaporean,55,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,38.58333333,VOCATION 31,UNIT 247,3,26,28.33333333,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,4,23.98,0,-13.76132484,6.805336915
10000130,Male,Singapore,Singaporean,44,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,5,MILITARY REGULARS,SERVICE B,SERVICE B,SAVER-EOS,22.33333333,VOCATION 251,UNIT 252,2,8,10.5,Diploma,Diploma,6,DIPLOMA IN ELECTRONICS AND COMMUNICATION ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,3,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,3,15.4,0,-11.0154832,13.15526363
10000131,Male,Singapore,Singaporean,37,36 to 40,Marr.,RANK 30,MIDDLE WOSE,1,NATIONAL SERVICEMEN,SERVICE D,SERVICE C,Premium Plan 2,17.58333333,VOCATION 268,UNIT 377,0,0,0,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,1,0,YES,YES,YES,1,5-ROOM,PUBLIC,5,NONE,NO,0,2,3,7.93,0,0,0
10000132,Male,Singapore,Singaporean,42,40 and Above,Divorc,RANK 18,MIDDLE OFFICER,11,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,21.91666667,VOCATION 96,UNIT 173,1,12,12,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,YES,Qualification From Professional Bodies,SPECIALIST CERTIFICATE IN LEARNING AND INSTRUCTION,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,4-ROOM,PUBLIC,4,NONE,NO,0,2,3,6.43,1,-10.45934363,4.992789915
10000137,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 17,MIDDLE OFFICER,3,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,18.16666667,VOCATION 109,UNIT 190,1,1,1,University,Honours Degree,9,BACHELOR OF ENGINEERING (SECOND CLASS HONOURS (LOWER)),NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,YES,YES,1,PRIVATE NON-LANDED,PRIVATE,7,5-ROOM,YES,2,2,5,12.91,0,-5.124359564,11.50687472
10000141,Male,Singapore,Singaporean,42,40 and Above,Single,RANK 30,MIDDLE WOSE,8,MILITARY REGULARS,SERVICE D,SERVICE C,Premium Plan 2,23.25,VOCATION 73,UNIT 63,0,0,0,Technical Education,ITE/Poly Certificate,5,AUTOMOTIVE TECHNOLOGY(HEAVY VEHICLES),NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,3,4,14.28,0,-29.39210378,-25.92985214
